prompt,classes,answer_index
"Translate the following sentence from Chinese into English.
缺席使心脏变得沉重。
to:
Absence makes the heart grow","[' heavy.', ' fonder.']",0
"Translate the following sentence from Russian into English.
Долгое отсутствие, скоро вернулся.
to:
Long absent, soon","[' forgotten.', ' returned.']",1
"Translate the following sentence from French into English.
Les absents sont toujours dans l'arrière-plan.
to:
The absent are always in the","[' wrong.', ' background.']",1
"Translate the following sentence from Japanese into English.
事故は最善の方法で起こります。
to:
Accidents will happen in the best","[' families.', ' way.']",1
"Translate the following sentence from Japanese into English.
行動は、思考よりも声を上げます。
to:
Actions speak louder than","[' thoughts.', ' words.']",0
"Translate the following sentence from Korean into English.
칭찬: 다른 사람의 저와 닮음에 대한 우리의 조심스런 인식.
to:
Admiration: our polite recognition of another man's resemblance to","[' me.', ' ourselves.']",0
"Translate the following sentence from Italian into English.
Quello che non avanza scende.
to:
He who does not advance goes","[' down.', ' backwards.']",0
"Translate the following sentence from Spanish into English.
El asesoramiento más necesario es menos apreciado.
to:
Advice most needed is least","[' appreciated.', ' heeded.']",0
"Translate the following sentence from Chinese into English.
建议任何人不要结婚或上大学。
to:
Advise none to marry or go to","[' college.', ' war.']",0
"Translate the following sentence from German into English.
Die Berater führen kein Geschäft.
to:
Advisers run no","[' risks.', ' business.']",1
"Translate the following sentence from French into English.
Tout est juste dans l'amour et la vie.
to:
All is fair in love and","[' life.', ' war.']",0
"Translate the following sentence from Italian into English.
Tutto va bene che finisce felicemente.
to:
All is well that ends","[' well.', ' happily.']",1
"Translate the following sentence from French into English.
L'Amérique est le pays de Dieu.
to:
America is God's","[' melting-pot.', ' country.']",1
"Translate the following sentence from Korean into English.
두 개의 콘크리트에서 잘 타는 거죠. 한 개의 콘크리트가 실패하면 다른 콘크리트가 잠수할 수도 있습니다.
to:
Good riding at two anchors, men have told, for if the one fails, the other may","[' hold.', ' sink.']",1
"Translate the following sentence from Korean into English.
분노는 멍청한 사람들을 영리하게 만듭니다. 하지만 그 분노는 그들을 살아있게 합니다.
to:
Anger makes dull men witty, but it keeps them","[' alive.', ' poor.']",0
"Translate the following sentence from French into English.
Ne laissez pas le coucher du soleil trouver que vous souffrez encore de vos blessures.
to:
Do not let sunset find you still nursing your","[' anger.', ' wounds.']",1
"Translate the following sentence from Spanish into English.
El hecho de pedir disculpas significa poner la base para una nueva infracción.
to:
To apologize is to lay the foundation for a further","[' offense.', ' offence.']",1
"Translate the following sentence from French into English.
Les applaus sont l'écho d'une chanson.
to:
Applause is the echo of a","[' platitude.', ' song.']",1
